date,home_team,score,away_team
29-04-2023,Toronto FC,1 - 0,New York City FC
06-05-2023,Charlotte,3 - 2,New York City FC
13-05-2023,New York Red Bulls,1 - 0,New York City FC
17-05-2023,Orlando City SC,1 - 1,New York City FC
27-05-2023,New York City FC,1 - 3,Philadelphia Union
31-05-2023,New York City FC,1 - 3,FC Cincinnati
03-06-2023,New York City FC,0 - 0,New England Revolution
11-06-2023,Real Salt Lake,0 - 0,New York City FC
17-06-2023,New York City FC,1 - 1,Columbus Crew
21-06-2023,Atlanta United FC,2 - 2,New York City FC
25-06-2023,Portland Timbers,1 - 1,New York City FC
01-07-2023,Montreal Impact,0 - 1,New York City FC
05-07-2023,New York City FC,? - ?,Charlotte
26-02-2023,Orlando City SC,1 - 0,New York Red Bulls
05-03-2023,New York Red Bulls,0 - 0,Nashville SC (MLS)
12-03-2023,Minnesota Utd,1 - 1,New York Red Bulls
18-03-2023,New York Red Bulls,2 - 1,Columbus Crew
25-03-2023,Charlotte,1 - 1,New York Red Bulls
01-04-2023,Atlanta United FC,1 - 0,New York Red Bulls
08-04-2023,New York Red Bulls,1 - 1,San Jose Earthquakes
15-04-2023,New York Red Bulls,1 - 1,Houston Dynamo
22-04-2023,Montreal Impact,2 - 0,New York Red Bulls
30-04-2023,Chicago Fire,1 - 1,New York Red Bulls
06-05-2023,New York Red Bulls,0 - 1,Philadelphia Union
13-05-2023,New York Red Bulls,1 - 0,New York City FC
17-05-2023,Toronto FC,0 - 0,New York Red Bulls
20-05-2023,New York Red Bulls,2 - 1,Montreal Impact
28-05-2023,Seattle Sounders FC,1 - 0,New York Red Bulls
31-05-2023,Club Internacional de Fútbol Miami,0 - 1,New York Red Bulls
03-06-2023,New York Red Bulls,0 - 3,Orlando City SC
21-06-2023,New York Red Bulls,2 - 2,Charlotte
24-06-2023,New York Red Bulls,4 - 0,Atlanta United FC
01-07-2023,Columbus Crew,2 - 1,New York Red Bulls
08-07-2023,New York Red Bulls,? - ?,New England Revolution
26-02-2023,Orlando City SC,1 - 0,New York Red Bulls
05-03-2023,Orlando City SC,0 - 0,FC Cincinnati
12-03-2023,DC United,1 - 1,Orlando City SC
18-03-2023,Orlando City SC,1 - 2,Charlotte
25-03-2023,Philadelphia Union,1 - 2,Orlando City SC
01-04-2023,Orlando City SC,0 - 2,Nashville SC (MLS)
16-04-2023,Minnesota Utd,1 - 2,Orlando City SC
22-04-2023,Orlando City SC,1 - 3,DC United
29-04-2023,Orlando City SC,2 - 0,LA Galaxy
06-05-2023,Montreal Impact,2 - 0,Orlando City SC
13-05-2023,Columbus Crew,2 - 2,Orlando City SC
17-05-2023,Orlando City SC,1 - 1,New York City FC
20-05-2023,Club Internacional de Fútbol Miami,1 - 3,Orlando City SC
